id,word_count,mean_word_length
651,39.00,5.179487179
652,87.00,5.011494253
653,165.00,4.703030303
654,109.00,4.697247706
655,44.00,4.363636364
656,97.00,4.567010309
657,115.00,4.8
658,220.00,4.609090909
659,69.00,4.637681159
660,3.00,3
661,31.00,4.193548387
662,10.00,3.3
663,25.00,3.72
664,8.00,2.875
665,45.00,4.355555556
666,7.00,4.714285714
667,4.00,4.5
668,9.00,5
669,33.00,4.181818182
670,4.00,4
671,4.00,4
672,184.00,4.385869565
673,25.00,4.28
674,4.00,3.25
675,6.00,3.333333333
676,2.00,3.5
677,15.00,4.266666667
678,7.00,4.714285714
679,77.00,4.103896104
680,38.00,4.210526316
681,49.00,5.142857143
682,167.00,4.491017964
683,16.00,4.375
684,152.00,4.565789474
685,146.00,4.308219178
686,71.00,4.577464789
687,75.00,4.786666667
688,138.00,4.536231884
689,75.00,4.813333333
690,157.00,4.668789809
691,13.00,4.230769231
692,141.00,4.503546099
693,252.00,4.714285714
694,44.00,5.181818182
695,51.00,4.274509804
696,64.00,4.546875
697,126.00,4.698412698
698,70.00,4.471428571
699,135.00,4.540740741
700,7.00,3.285714286
701,6.00,4.5
702,22.00,3.5
703,2.00,3.5
704,25.00,4
705,61.00,4.31147541
706,10.00,5.7
707,48.00,3.791666667
708,127.00,4.204724409
709,112.00,4.4375
710,217.00,4.304147465
711,34.00,4.735294118
712,26.00,3.730769231
713,71.00,4.197183099
714,36.00,4.638888889
715,32.00,4.75
716,193.00,4.564766839
717,128.00,4.359375
718,48.00,5.354166667
719,93.00,4.537634409
720,28.00,4.535714286
721,71.00,4.943661972
722,42.00,3.761904762
723,39.00,4.230769231
724,165.00,4.109090909
725,166.00,4.168674699
726,13.00,3.769230769
727,253.00,4.529644269
728,65.00,4.661538462
729,7.00,3.571428571
730,240.00,4.575
731,189.00,4.576719577
732,74.00,4.418918919
733,54.00,5.148148148
734,68.00,4.338235294
735,150.00,4.446666667
736,40.00,4.225
737,102.00,4.264705882
738,20.00,4.6
739,7.00,4.714285714
740,2.00,3.5
741,75.00,3.986666667
742,69.00,4.101449275
743,22.00,4.363636364
744,86.00,4.395348837
745,26.00,4.038461538
746,134.00,4.26119403
747,9.00,3.888888889
748,7.00,4.571428571
749,148.00,4.162162162
750,24.00,4.083333333
751,68.00,3.985294118
752,131.00,4.358778626
753,21.00,4.523809524
754,48.00,4.3125
755,27.00,3.814814815
756,9.00,5.555555556
757,40.00,4
758,253.00,4.454545455
759,36.00,5.111111111
760,19.00,4.842105263
761,122.00,4.836065574
762,91.00,4.615384615
763,60.00,4.883333333
764,143.00,4.51048951
765,46.00,4.173913043
766,48.00,4.666666667
767,50.00,4.48
768,178.00,4.573033708
769,370.00,4.594594595
770,62.00,4.35483871
771,11.00,4.363636364
772,55.00,4.509090909
773,128.00,4.53125
774,11.00,4.363636364
775,8.00,3.375
776,2.00,5.5
777,64.00,4.65625
778,52.00,4.230769231
779,11.00,4.909090909
780,10.00,5.4
781,21.00,4.666666667
782,15.00,4.466666667
783,2.00,7
784,70.00,4.857142857
785,32.00,4.25
786,9.00,3.888888889
787,17.00,4.647058824
788,83.00,5.096385542
789,26.00,4.384615385
790,18.00,4.722222222
791,229.00,4.401746725
792,45.00,4.177777778
793,53.00,4.471698113
794,13.00,3.692307692
795,41.00,4.243902439
796,105.00,5.066666667
797,114.00,4.763157895
798,188.00,4.143617021
799,10.00,3.9
800,17.00,4.058823529
801,181.00,4.762430939
802,219.00,4.511415525
803,98.00,4.510204082
804,494.00,4.611336032
805,354.00,4.553672316
806,59.00,4.372881356
807,243.00,4.567901235
808,280.00,4.428571429
809,185.00,4.475675676
810,64.00,4.375
811,254.00,4.55511811
812,87.00,4.528735632
813,139.00,4.611510791
814,58.00,4.327586207
815,164.00,4.548780488
816,57.00,4.98245614
817,19.00,6
818,3.00,4
819,6.00,5
820,38.00,4.315789474
821,63.00,4.412698413
822,229.00,4.659388646
823,243.00,4.666666667
824,118.00,4.872881356
825,20.00,5.75
826,151.00,4.649006623
827,11.00,5.181818182
828,36.00,4.888888889
829,215.00,4.911627907
830,23.00,5.304347826
831,5.00,4.6
832,10.00,4.3
833,8.00,4.125
834,19.00,5.105263158
835,5.00,5.8
836,5.00,4.4
837,13.00,3.846153846
838,114.00,4.684210526
839,62.00,5.129032258
840,75.00,4.68
841,75.00,4.666666667
842,75.00,5.04
843,82.00,4.62195122
844,107.00,4.654205607
845,47.00,4.617021277
846,5.00,4.4
847,7.00,5.428571429
848,53.00,4.037735849
849,6.00,4.666666667
850,58.00,4.5
851,156.00,4.057692308
852,151.00,4.01986755
853,128.00,4.2890625
854,2.00,4.5
855,6.00,4
856,17.00,4.294117647
857,1.00,2
858,102.00,4.480392157
859,70.00,4.842857143
860,61.00,4.672131148
861,74.00,5.081081081
862,59.00,5.118644068
863,93.00,4.806451613
864,43.00,5.023255814
865,85.00,4.423529412
866,41.00,4.43902439
867,34.00,5.352941176
868,339.00,4.595870206
869,179.00,4.346368715
870,2.00,6.5
871,9.00,4.222222222
872,48.00,4.4375
873,120.00,4.691666667
874,47.00,4.382978723
875,2.00,6
876,18.00,3.777777778
877,7.00,4.428571429
878,10.00,4.1
879,12.00,4.75
880,7.00,3.285714286
881,11.00,4.727272727
882,31.00,4.935483871
883,44.00,4.863636364
884,115.00,4.495652174
885,63.00,4.555555556
886,29.00,4.75862069
887,26.00,4.961538462
888,6.00,4.666666667
889,92.00,3.597826087
890,58.00,4.224137931
891,6.00,6.833333333
892,22.00,3.636363636
893,26.00,3.846153846
894,10.00,4.4
895,19.00,4.789473684
896,26.00,4.461538462
897,20.00,3.4
898,12.00,4.916666667
899,40.00,4.2
900,21.00,3.380952381
901,35.00,3.142857143
902,12.00,4.416666667
903,20.00,3.7
904,35.00,4.171428571
905,28.00,4.035714286
906,31.00,5.516129032
907,42.00,4.547619048
908,27.00,3.666666667
909,41.00,3.804878049
910,5.00,4.2
911,28.00,3.607142857
912,4.00,6.25
913,12.00,5
914,35.00,3.885714286
915,24.00,3.625
916,45.00,3.866666667
917,30.00,3.666666667
918,18.00,4.277777778
919,36.00,3.722222222
920,25.00,3.56
921,3.00,3.666666667
922,75.00,4.573333333
923,139.00,4.525179856
924,1.00,2
925,15.00,3.133333333
926,84.00,3.75
927,27.00,3.592592593
928,15.00,4.133333333
929,18.00,4.333333333
930,53.00,4.41509434
931,54.00,4.092592593
932,59.00,4.610169492
933,72.00,4.652777778
934,53.00,4.849056604
935,66.00,5.106060606
936,26.00,4.769230769
937,24.00,4.541666667
938,9.00,4
939,2.00,4
940,13.00,3.769230769
941,55.00,3.945454545
942,44.00,5.136363636
943,21.00,4.619047619
